show_id,type,title,release_year,rating,duration,month,date,year
80217312,Movie,The Ritual,2018,TV-MA,95,February,9,2018
80156936,Movie,Qila,1998,TV-14,161,June,1,2017
80200571,Movie,The Highwaymen,2019,R,132,March,29,2019
81019031,Movie,Soorma,2018,TV-14,131,October,13,2018
60026114,Movie,Final Destination 2,2003,R,90,January,1,2020
81012943,Movie,Silencer,2018,TV-MA,88,December,3,2018
70101321,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,NR,97,September,1,2017
81172740,Movie,Banana Island Ghost,2017,TV-14,108,December,6,2019
81067761,Movie,Sur: The Melody of Life,2002,TV-14,137,February,15,2019
70172928,Movie,War Horse,2011,PG-13,147,May,6,2019
80157564,Movie,The Devil's Mistress,2016,TV-14,110,May,15,2017
80187307,Movie,Tom Segura: Disgraceful,2018,TV-MA,71,January,12,2018
80107084,Movie,A Futile and Stupid Gesture,2018,TV-MA,102,January,26,2018
60003290,Movie,Fiza,2000,TV-14,163,August,2,2018
80123777,Movie,Mine,2016,TV-MA,106,February,28,2019
80157086,Movie,Jaal,1986,TV-MA,162,December,8,2017
80209558,Movie,Barrio Universitario,2013,TV-14,91,August,19,2018
80107087,Movie,Internet Famous,2016,TV-14,87,July,21,2016
81045052,Movie,Pahuna,2018,TV-PG,82,January,7,2019
520489,Movie,Four Weddings and a Funeral,1994,R,118,August,1,2019
81196441,Movie,El sendero de la anaconda,2019,TV-PG,74,November,15,2019
70250364,Movie,Katt Williams: Kattpacalypse,2012,NR,61,July,3,2018
70271599,Movie,One Direction: This Is Us,2013,PG,92,October,1,2019
80148180,Movie,Gringo: The Dangerous Life of John McAfee,2016,TV-MA,97,April,1,2018
81150918,Movie,Léa & I,2019,TV-MA,84,August,2,2019
80189954,Movie,Pup Star: Better 2Gether,2017,PG,93,October,28,2017
81005453,Movie,Parmanu: The Story of Pokhran,2018,TV-14,124,July,25,2018
60031284,Movie,Mona Lisa Smile,2003,PG-13,119,January,1,2019
80239629,Movie,Animas,2018,TV-MA,88,January,25,2019
70304914,Movie,Maria Bamford: The Special Special Special,2012,TV-MA,50,August,25,2018
70117322,Movie,From Paris with Love,2010,R,93,December,8,2019
80108616,Movie,Hell or High Water,2016,R,102,January,1,2019
70139075,Movie,7 Khoon Maaf,2011,TV-MA,148,August,2,2018
80991400,Movie,High Flying Bird,2019,TV-MA,91,February,8,2019
70114021,Movie,A Serious Man,2009,R,106,January,16,2018
81035868,Movie,An Upper Egyptian,2014,TV-MA,85,June,20,2019
80992973,Movie,Bert Kreischer: The Machine,2016,TV-MA,70,February,22,2019
80232330,Movie,Darc,2018,TV-MA,98,May,1,2018
80117443,Movie,Joe Rogan: Triggered,2016,TV-MA,64,October,21,2016
80166185,Movie,Dangal,2016,TV-PG,161,June,21,2017
80208951,Movie,24 Hours to Live,2017,R,93,April,7,2018
81029737,Movie,A Home with A View,2019,TV-MA,92,April,30,2019
80168221,Movie,"Oh, Hello On Broadway",2017,TV-MA,102,June,13,2017
81127333,Movie,The Brave,2019,TV-MA,103,January,15,2020
60036359,Movie,Schindler's List,1993,R,195,April,1,2018
70275774,Movie,Chashme Buddoor,2013,TV-PG,121,May,1,2017
80180509,Movie,Colkatay Columbus,2016,TV-14,118,March,30,2017
80218586,Movie,Dark Chocolate (Bengali Version),2016,TV-MA,91,December,15,2017
70218312,Movie,Train of the Dead,2007,NR,88,July,25,2018
81016044,Movie,Bangkok Traffic (Love) Story,2009,TV-14,126,September,5,2018
80101827,Movie,The White Helmets,2016,TV-14,41,September,16,2016
80192548,Movie,CIA: Comrade in America,2017,TV-14,130,May,1,2018
80995077,Movie,Little Singham aur Kaal ka Mahajaal,2018,TV-Y7-FV,68,December,1,2018
81065786,Movie,Used Goods,2018,TV-MA,95,September,1,2019
80202273,Movie,The Last Laugh,2019,TV-MA,99,January,11,2019
80097431,Movie,Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...,2016,TV-14,75,August,26,2016
80239988,Movie,Martyrs of Marriage,2016,TV-14,83,March,15,2018
80112370,Movie,Barbie Star Light Adventure,2016,TV-Y,79,October,1,2017
70099610,Movie,The Duchess,2008,PG-13,110,April,1,2018
80058460,Movie,He Never Died,2015,R,97,March,18,2016
60034571,Movie,Troy,2004,R,163,October,1,2019
80198771,Movie,26 Years,2012,TV-MA,135,October,1,2017
80138469,Movie,Railroad Tigers,2016,TV-14,124,August,19,2017
80174451,Movie,The Two Popes,2019,PG-13,126,December,20,2019
81009815,Movie,A Leaf of Faith,2018,TV-MA,87,August,27,2018
80994443,Movie,B.A. Pass 2,2017,TV-14,126,June,1,2018
709163,Movie,Logan's Run,1976,PG,118,November,1,2019
80214743,Movie,Jim Jefferies: This Is Me Now,2018,TV-MA,71,July,13,2018
60010488,Movie,Indiana Jones and the Temple of Doom,1984,PG,119,January,1,2019
81000863,Movie,14 Cameras,2018,TV-MA,89,October,27,2018
81217436,Movie,Road to Sangam,2010,TV-14,136,December,31,2019
81047680,Movie,Screwball,2018,TV-MA,105,August,6,2019
80242926,Movie,The Princess Switch,2018,TV-PG,102,November,16,2018
70278931,Movie,Blue Ruin,2013,R,90,February,25,2019
80217733,Movie,Bleach,2018,TV-14,109,September,14,2018
70026432,Movie,Tarzan 2,2005,G,72,June,23,2017
80094964,Movie,Ho Mann Jahaan,2015,TV-PG,170,July,1,2017
70101696,Movie,Defiance,2008,R,137,November,27,2019
70051671,Movie,Employee of the Month,2006,PG-13,108,March,31,2019
81212801,Movie,The Irishman: In Conversation,2019,TV-MA,24,December,5,2019
81070659,Movie,Ronny Chieng: Asian Comedian Destroys America!,2019,TV-MA,63,December,17,2019
81092776,Movie,Chhota Bheem Ka Romani Adventure,2018,TV-Y7,62,May,10,2019
80148595,Movie,Back and Forth,2016,NR,95,January,5,2017
70209267,Movie,A Holiday Engagement,2011,TV-G,92,November,4,2019
80106793,Movie,Handsome: A Netflix Mystery Movie,2017,TV-MA,81,May,5,2017
80113667,Movie,Aquarius,2016,UR,146,January,13,2017
70260374,Movie,Aftershock,2012,R,89,March,7,2018
80187107,Movie,Raising the Bar,2016,TV-G,97,August,1,2017
80107808,Movie,Kill Ratio,2016,TV-MA,87,February,17,2017
81087761,Movie,Roll Red Roll,2018,TV-MA,80,August,8,2019
80202713,Movie,Eve's Apple,2017,TV-14,91,January,1,2018
80239932,Movie,Trevor Noah: Son of Patricia,2018,TV-MA,64,November,20,2018
80993650,Movie,Temporada de Caza,2017,TV-MA,108,July,15,2018
70110558,Movie,Sherlock Holmes,2009,PG-13,128,April,1,2019
80185876,Movie,Trolls Holiday Special,2017,TV-G,27,December,6,2017
80998890,Movie,Upstarts,2019,TV-14,112,October,18,2019
70118859,Movie,Monty Python: Before the Flying Circus,2000,TV-14,56,October,2,2018
80106966,Movie,Iliza Shlesinger: Confirmed Kills,2016,TV-MA,78,September,23,2016
70129396,Movie,Peepli Live,2010,TV-14,109,December,8,2017
80013267,Movie,Jeff Dunham: All Over the Map,2014,TV-14,84,November,16,2019
80038337,Movie,Mississippi Grind,2015,R,109,July,26,2018
80084667,Movie,What the Jatt!!,2015,TV-14,140,October,1,2018
81002596,Movie,Yes or No 2,2012,TV-PG,112,November,8,2018
80044888,Movie,Crazy Beautiful You,2015,TV-PG,114,August,6,2019
81074113,Movie,Jeff Dunham: Beside Himself,2019,TV-MA,58,September,24,2019
80134524,Movie,Hokkabaz,2006,TV-MA,118,March,10,2017
81024041,Movie,Cities of Last Things,2018,TV-MA,106,July,12,2019
80244681,Movie,After the Raid,2019,TV-PG,25,December,19,2019
80103623,Movie,The Heroes of Evil,2015,NR,99,June,1,2016
81005314,Movie,Sparring,2017,TV-14,94,September,1,2018
70213471,Movie,Lawless,2012,R,116,December,29,2019
80190101,Movie,Anjaan,2014,TV-MA,146,October,1,2018
80044834,Movie,Lila & Eve,2015,R,94,February,6,2016
80023851,Movie,Super Nani,2014,TV-PG,127,March,1,2018
70142792,Movie,Love In A Puff,2010,TV-MA,103,August,1,2018
