,이름,선거구,선거구명
766,이석권,전북,익산시
767,하정열,전북,정읍시 고창군
768,유성엽,전북,정읍시 고창군
769,김만균,전북,정읍시 고창군
770,이강수,전북,정읍시 고창군
771,김용호,전북,남원시 임실군 순창군
772,박희승,전북,남원시 임실군 순창군
773,이용호,전북,남원시 임실군 순창군
774,임종천,전북,남원시 임실군 순창군
775,오은미,전북,남원시 임실군 순창군
776,오철기,전북,남원시 임실군 순창군
777,강동원,전북,남원시 임실군 순창군
778,방경채,전북,남원시 임실군 순창군
779,김효성,전북,김제시 부안군
780,김춘진,전북,김제시 부안군
781,김종회,전북,김제시 부안군
782,강상구,전북,
783,신재봉,전북,완주군 진안군 무주군 장수군
784,안호영,전북,완주군 진안군 무주군 장수군
785,임정엽,전북,완주군 진안군 무주군 장수군
786,민경선,전북,완주군 진안군 무주군 장수군
787,박석만,전남,목포시
788,조상기,전남,목포시
789,박지원,전남,목포시
790,문보현,전남,목포시
791,김환석,전남,목포시
792,,전남,목포시
793,유선호,전남,목포시
794,김한창,전남,목포시
795,신정일,전남,여수시
796,송대수,전남,여수시
797,이용주,전남,여수시
798,김영규,전남,여수시
799,이광진,전남,여수시
800,김성훈,전남,여수시
801,백무현,전남,여수시
802,,전남,여수시
803,황필환,전남,여수시
804,김상일,전남,여수시
805,이정현,전남,순천시
806,노관규,전남,순천시
807,구희승,전남,순천시
808,최용준,전남,순천시
809,정오균,전남,순천시
810,박상욱,전남,순천시
811,김종우,전남,나주시 화순군
812,신정훈,전남,나주시 화순군
813,손금주,전남,나주시 화순군
814,이승안,전남,광양시 곡성군 구 례군
815,우윤근,전남,광양시 곡성군 구 례군
816,정인화,전남,광양시 곡성군 구 례군
817,유현주,전남,광양시 곡성군 구 례군
818,박형모,전남,광양시 곡성군 구 례군
819,최유성,전남,광양시 곡성군 구 례군
820,장대범,전남,광양시 곡성군 구 례군
821,조성학,전남,담양군 함평군 영광군 장성군
822,이개호,전남,담양군 함평군 영광군 장성군
823,강형욱,전남,담양군 함평군 영광군 장성군
824,김천식,전남,담양군 함평군 영광군 장성군
825,장귀석,전남,고흥군 보성군 장흥군 강진군
826,신문식,전남,고흥군 보성군 장흥군 강진군
827,황주홍,전남,고흥군 보성군 장흥군 강진군
828,위두환,전남,고흥군 보성군 장흥군 강진군
829,명욱재,전남,해남군 완도군 진도군
830,김영록,전남,해남군 완도군 진도군
831,윤영일,전남,해남군 완도군 진도군
832,이정확,전남,해남군 완도군 진도군
833,주영순,전남,영암군 무안군 신안군
834,서삼석,전남,영암군 무안군 신안군
835,,전남,
836,장문규,전남,영암군 무안군 신안군
837,박광순,전남,영암군 무안군 신안군
838,김정재,경북,포항시 북구
839,오중기,경북,포항시 북구
840,박창호,경북,포항시 북구
841,박승호,경북,포항시 북구
842,박명재,경북,포항시 남구 울릉군
843,박승억,경북,포항시 남구 울릉군
844,임영숙,경북,포항시 남구 울릉군
845,김석기,경북,경주시
846,이상덕,경북,경주시
847,정종복,경북,경주시
848,권영국,경북,경주시
849,이철우,경북,김천시
850,박판수,경북,김천시
851,김광림,경북,안동시
852,이성노,경북,안동시
853,박인우,경북,안동시
854,백승주,경북,구미시
855,,경북,구미시
856,장석춘,경북,구미시
857,김태환,경북,구미시
858,최교일,경북,영주시 문경시 예천군
859,엄재정,경북,영주시 문경시 예천군
860,김수철,경북,영주시 문경시 예천군
861,이만희,경북,영천시 청도군
862,최기문,경북,영천시 청도군
863,김종태,경북,상주시 군 위군 의성군 청송군
864,김영태,경북,상주시 군 위군 의성군 청송군
865,최경환,경북,경산시
866,,경북,경산시
867,강석호,경북,영양군 영덕군 봉화군 울진군
868,이귀영,경북,영양군 영덕군 봉화군 울진군
869,홍성태,경북,영양군 영덕군 봉화군 울진군
870,이완영,경북,고령군 성주군 칠곡군
871,,경북,고령군 성주군 칠곡군
872,박완수,경남,창원시 의창구
873,김기운,경남,창원시 의창구
874,한경수,경남,창원시 의창구
875,강기윤,,창원시 성산구
876,이재환,,창원시 성산구
877,노회찬,경남,창원시 성산구
878,이주영,경남,창원시 마산합포구
879,박남현,경남,창원시 마산합포구
880,이원희,경남,창원시 마산합포구
881,윤한홍,경남,창원시 마산회원구
882,하귀남,경남,창원시 마산회원구
883,안성오,경남,창원시 마산회원구
884,김성찬,경남,창원시 진해구
885,김종길,경남,창원시 진해구
886,최연길,경남,창원시 진해구
887,박대출,경남,진주시
888,정영훈,경남,진주시
889,이혁,경남,
890,김재경,경남,진주시
891,서소연,경남,진주시
892,강주열,경남,진주시
893,여상규,경남,사천시 남해군 하동군
894,남명우,경남,사천시 남해군 하동군
895,차상돈,경남,사천시 남해군 하동군
896,홍태용,경남,김해시
897,민홍철,,김해시
898,최두성,경남,김해시
899,최성근,경남,김해시
900,이만기,,김해시
901,김경수,경남,김해시
902,이형우,경남,김해시
903,엄용수,경남,밀양시 의령군 함안군 창녕군
904,우일식,경남,밀양시 의령군 함안군 창녕군
905,김충근,경남,밀양시 의령군 함안군 창녕군
906,,경남,밀양시 의령군 함안군 창녕군
907,조해진,경남,밀양시 의령군 함안군 창녕군
908,김한표,경남,거제시
909,변광용,경남,거제시
910,김종혁,경남,거제시
911,이길종,경남,거제시
912,윤영석,,양산시
913,송인배,경남,양산시
914,홍순경,경남,양산시
915,이장권,경남,양산시
916,서형수,경남,양산시
917,우민지,경남,양산시
918,황윤영,경남,양산시
919,박인,경남,양산시
920,강석진,경남,산청군 함양군 거창군 합천군
921,권문상,경남,산청군 함양군 거창군 합천군
922,윤석준,경남,산청군 함양군 거창군 합천군
923,김홍업,경남,산청군 함양군 거창군 합천군
924,홍사덕,서울,종로구
925,정세균,서울,종로구
926,김준수,서울,종로구
927,홍성훈,서울,종로구
928,정재복,서울,종로구
929,최백순,서울,종로구
930,류승구,서울,종로구
