이름,위치,선거구
0,인천,강화군
0,인천,강화군
0,인천,옹진군
0,인천,옹진군
0,인천,옹진군
0,인천,옹진군
0,인천,
0,인천,옹진군
0,,옹진군
0,인천,옹진군
2,인천,옹진군
0,인천,옹진군
0,인천,옹진군
0,인천,옹진군
0,,옹진군
1,인천,옹진군
0,광주,동구
0,광주,동구
0,광주,동구
0,,동구
0,,동구
0,광주,동구
0,광주,동구
0,광주,동구
0,광주,동구
1,광주,동구
0,광주,동구
0,광주,동구
0,광주,동구
0,광주,동구
0,광주,동구
0,광주,서구
0,광주,서구
1,광주,서구
0,광주,서구
2,광주,서구
0,광주,서구
0,광주,서구
0,광주,서구
0,광주,서구
0,광주,서구
0,광주,서구
0,광주,서구
1,광주,서구
0,광주,서구
0,광주,서구
0,광주,서구
0,광주,서구
0,,서구
0,광주,서구
0,광주,서구
0,광주,서구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,,남구
0,광주,남구
1,광주,
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,남구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
1,광주,북구
0,광주,북구
0,광주,북구
1,,북구
0,광주,북구
0,,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
2,광주,북구
1,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
1,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
1,,북구
0,광주,북구
1,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
1,,북구
2,광주,북구
0,광주,북구
0,광주,북구
0,광주,광산구
0,광주,광산구
0,광주,광산구
0,광주,광산구
0,광주,광산구
2,광주,광산구
0,광주,광산구
0,광주,광산구
0,광주,광산구
0,,광산구
0,광주,광산구
1,광주,광산구
0,광주,광산구
0,광주,광산구
0,광주,광산구
2,광주,광산구
0,,광산구
2,,광산구
0,광주,광산구
0,광주,광산구
0,,
1,광주,
0,광주,
0,광주,광산구
0,광주,광산구
0,광주,광산구
0,광주,광산구
0,광주,광산구
0,광주,광산구
0,광주,광산구
0,광주,광산구
1,광주,광산구
2,광주,광산구
1,광주,광산구
0,광주,광산구
0,광주,광산구
0,대전,동구
1,대전,동구
2,대전,동구
1,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,대전,동구
0,,동구
1,대전,동구
0,대전,동구
0,대전,중구
0,대전,중구
0,대전,중구
0,대전,중구
0,대전,중구
0,대전,중구
1,대전,중구
0,대전,중구
0,대전,중구
0,대전,중구
1,대전,중구
0,대전,중구
0,대전,중구
0,대전,중구
2,대전,중구
2,대전,중구
2,대전,중구
1,대전,중구
0,대전,중구
0,대전,중구
0,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
1,대전,서구
0,대전,서구
0,대전,서구
1,대전,서구
0,대전,서구
0,대전,서구
0,,서구
2,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
1,대전,서구
0,,서구
2,대전,서구
0,대전,서구
0,대전,서구
2,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
1,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
0,대전,서구
1,대전,서구
0,대전,서구
1,대전,
1,대전,서구
0,대전,서구
0,대전,서구
1,,서구
0,대전,서구
0,,유성구
0,대전,유성구
0,대전,유성구
0,대전,유성구
0,대전,유성구
2,대전,유성구
0,대전,유성구
0,대전,유성구
1,대전,유성구
1,대전,유성구
0,대전,유성구
0,대전,유성구
0,대전,유성구
0,대전,유성구
0,대전,유성구
0,대전,유성구
1,대전,유성구
1,대전,유성구
0,대전,유성구
2,대전,유성구
0,대전,유성구
0,대전,대덕구
1,대전,대덕구
0,대전,대덕구
0,대전,대덕구
1,대전,대덕구
0,대전,대덕구
0,대전,대덕구
1,대전,대덕구
1,대전,대덕구
0,대전,대덕구
0,대전,대덕구
0,대전,대덕구
1,대전,대덕구
0,대전,대덕구
0,대전,대덕구
0,울산,중구
0,울산,
0,울산,중구
0,울산,중구
2,울산,중구
1,울산,중구
0,울산,중구
0,울산,중구
0,울산,중구
2,,중구
0,울산,중구
2,울산,중구
0,울산,중구
0,울산,중구
0,울산,중구
0,울산,중구
0,울산,중구
1,울산,남구
0,울산,남구
0,울산,남구
0,울산,남구
1,울산,남구
0,울산,남구
0,울산,남구
0,울산,남구
0,울산,남구
0,울산,남구
0,울산,남구
0,울산,남구
0,울산,남구
0,울산,남구
1,울산,남구
2,울산,남구
0,울산,
0,울산,
0,울산,남구
0,울산,남구
