성명,선거구1,선거구2,여당평가,당선여부,득표수(득표율),학력,과목,경력_지역,인지도,지역구분
임강환,전남,장성군,74.43499999999997,False,-0.8736048039158372,,,False,0.0011311279435490035,2
이상철,전남,곡성군,,True,0.5388218739968901,,,False,0.9954444515336858,
정홍균,전남,곡성군,74.43499999999997,False,-0.7565850433171739,,,True,0.004555548466314198,2
이현창,전남,구례군,74.43499999999997,True,-0.16765303521557004,,,False,0.7411330018576963,2
고택윤,전남,,74.43499999999997,False,-0.9585641823190424,,행정,False,0.08816436522251979,2
김봉용,전남,구례군,74.43499999999997,False,-1.6526970890519987,,,False,0.07741899314492398,2
장주옥,전남,구례군,74.43499999999997,False,-2.798434262570479,,,False,0.09328363977485997,2
박진권,전남,고흥군,74.43499999999997,True,0.3036143770734838,,정치,True,0.18997662802244816,2
송영국,,고흥군,74.43499999999997,False,-0.6021905232381254,,,False,0.6638922822482394,2
박금래,전남,고흥군,74.43499999999997,True,0.0717594221831583,,,False,0.06626494542863501,2
정순열,전남,고흥군,74.43499999999997,,-0.3764063560413079,,정치,False,0.07986614430067739,2
이동현,전남,보성군,74.43499999999997,True,0.367938502350099,,경영,False,,2
김선배,전남,보성군,74.43499999999997,False,-0.6426193290184326,,,True,0.01296424040639025,2
문행주,전남,화순군,74.43499999999997,True,0.07346715188187275,,,False,0.3074091064966984,2
,전남,화순군,74.43499999999997,False,-0.3401759445586971,,행정,False,0.32491723166150105,2
염인문,전남,화순군,74.43499999999997,False,-3.2247785253975065,,,False,0.08841528664818442,2
구복규,전남,화순군,74.43499999999997,True,0.4548695458119587,,,False,0.15847718139027125,2
민병흥,전남,화순군,74.43499999999997,False,-0.6870293612834356,,행정,,0.12078119380334475,2
사순문,전남,장흥군,74.43499999999997,True,-0.5982016100118657,,법,True,,2
박형대,전남,장흥군,74.43499999999997,False,-0.7948936210496371,,,False,,2
이충식,전남,장흥군,74.43499999999997,False,-0.8613233357417079,,행정,True,0.11405203151990095,2
곽태수,전남,장흥군,74.43499999999997,True,0.1888344941223036,,,,0.04370263273333897,2
김광준,,장흥군,,False,-1.3054512698534892,,,False,0.7174211969637164,2
황정주,전남,장흥군,74.43499999999997,False,-1.4880060624510087,,,False,0.02984131338966428,2
차영수,전남,강진군,74.43499999999997,True,0.40976310899383983,,,False,0.002411770052771291,2
김승식,전남,강진군,74.43499999999997,False,,,경제,False,0.002157520042558368,
,전남,강진군,74.43499999999997,,-0.07733320340317028,,,False,0.3534268980870273,2
김강민,전남,강진군,74.43499999999997,False,-0.5500992399744358,,,False,0.6417626246959571,2
전노진,전남,강진군,74.43499999999997,False,-2.117711078074699,,,False,0.00024118712168602998,2
이철,전남,완도군,74.43499999999997,True,-0.5079285792545146,,행정,False,0.048311854018794655,2
김신,전남,완도군,74.43499999999997,False,,,경영,False,0.14393844992668767,
박현호,전남,완도군,74.43499999999997,False,-1.3149530926595672,,행정,False,0.0060984990957292885,2
신의준,전남,완도군,74.43499999999997,True,0.21306136883405946,,,,0.0004500204237747587,2
김동준,전남,완도군,74.43499999999997,False,-2.0154112428641637,,,False,0.7995490330559886,2
,전남,완도군,74.43499999999997,False,-1.001297717622898,,,False,0.0016521434790251607,2
김성일,전남,해남군,74.43499999999997,True,0.4456035373261463,,경제,False,0.63462687743407,2
최재희,전남,,74.43499999999997,False,-1.1658133736741885,,법,False,0.21700003366662968,2
정광춘,전남,해남군,74.43499999999997,False,-2.2204239444704736,,,False,0.0010856521177836187,2
조광영,전남,해남군,74.43499999999997,True,-0.20319683215673487,,경영,False,0.003401810465161245,2
박성재,전남,해남군,74.43499999999997,False,-0.2484231468756364,,,False,0.14282769744015136,2
심재신,,해남군,74.43499999999997,False,-2.810397331514264,,행정,False,0.0010579288762041378,2
서재완,전남,진도군,74.43499999999997,False,,,,True,0.08118719530365005,2
