이름,선거구,선거구명,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,학교,과목,인지,지역구분
김비오,부산,중구 영도구,국회의원,20,2,남,rev,47,정당인,42.84,False,,연세대,법,0.1002514943116955,1
이선자,부산,중구 영도구,국회의원,20,3,여,rem,31,,42.84,False,,,,0.002321901514524636,1
유기준,부산,서구동구,국회의원,20,1,남,con,56,,42.84,True,,,법,0.8701423236613469,1
이재강,부산,서구동구,국회의원,20,2,남,rev,53,정당인,42.84,False,,,정치,0.09925812025911887,1
임정석,부산,서구동구,국회의원,20,3,남,rem,50,,42.84,False,,,경영,0.03059955607953423,1
나성린,부산,부산진구,국회의원,20,1,남,con,63,,42.84,False,-0.16730177024015785,,경제,0.03635394547069007,1
김영춘,부산,부산진구,국회의원,20,2,남,rev,54,정당인,42.84,True,-0.04487973769394202,고려대,정치,0.7317838684268331,1
오승철,부산,부산진구,국회의원,20,3,남,rem,58,,42.84,False,-3.214126118343698,,정치,0.02123515218774352,1
이헌승,부산,부산진구,국회의원,20,1,남,con,52,,42.84,True,-0.12115719620063073,고려대,경영,0.07784302506827716,1
조영진,부산,부산진구,국회의원,20,2,남,rev,49,정당인,42.84,False,-0.9067180834517402,,경영,0.08021718694279463,1
이덕욱,부산,부산진구,국회의원,20,,남,rev,49,,,False,-1.5284163069212748,서울대,법,0.008131304242642995,1
김재하,부산,부산진구,국회의원,20,3,남,rem,55,,42.84,False,-2.926831791294521,,,0.044435517661018525,1
이진복,부산,동래구,국회의원,20,,남,con,58,,42.84,True,-0.32327786551745125,,행정,0.7623982414556498,
김우룡,부산,동래구,국회의원,20,,남,rev,52,,42.84,,-1.1660379718026672,,경영,0.05000090993808794,1
정상원,부산,동래구,국회의원,20,3,남,rev,53,,42.84,False,-1.6419726673458337,,행정,0.06291830583868764,1
박승환,부산,동래구,국회의원,20,3,남,rem,58,,42.84,False,-1.6024399041534283,,법,0.1246825427675748,1
김정훈,부산,남구,국회의원,20,1,남,con,58,,42.84,True,0.029774129989151,,법,0.956413649564866,1
이정환,부산,남구,국회의원,20,2,남,rev,62,정당인,42.84,False,-0.12321904883479827,,,0.01038455368148297,1
서용교,부산,남구,국회의원,20,1,남,con,,,42.84,False,-0.2821479506610288,서울대,,0.011417313446421357,1
박재호,부산,남구,국회의원,20,2,남,rev,57,정당인,42.84,True,-0.09628937669705577,,행정,0.020963383625066938,1
유정기,부산,남구,국회의원,20,3,남,rev,51,,42.84,False,-2.396841776798724,,,0.0008210996821626003,1
박민식,부산,북구 강서구,국회의원,20,1,남,con,,,42.84,False,-0.2599234372929828,서울대,외교,0.04474233420106486,1
전재수,부산,북구 강서구,국회의원,20,2,남,rev,44,정당인,42.84,True,0.21060663949931516,,정치,0.11196138753964703,1
김도읍,부산,북구 강서구,국회의원,20,1,남,con,51,,42.84,True,-0.04395559224999517,,법,0.25114081953962514,1
정진우,부산,북구 강서구,국회의원,20,2,,rev,48,,42.84,False,-0.4822185785091554,연세대,경제,0.5909865035801439,1
정규룡,부산,북구 강서구,국회의원,20,3,남,rev,55,,42.84,False,-2.0153985417052827,,경영,0.001168955139519021,1
,부산,해운대구,국회의원,20,1,남,con,47,,42.84,True,0.029515050635033162,서울대,,0.8211066720556698,1
