이름,선거구명1,선거구명2,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
염태영,경기,수원시,구시군의장선거,5,2,남,rev,49,,47.25,True,4.595119850134589,2
유덕화,경기,수원시,구시군의장선거,5,3,여,rev,49,정당인,47.25,False,-2.6731142400124406,2
이윤희,경기,수원시,구시군의장선거,5,3,남,rem,54,,47.25,False,-2.3914516321636663,2
신현태,경기,수원시,구시군의장선거,5,3,남,rem,63,,47.25,False,-1.999784856802356,2
황준기,경기,,구시군의장선거,5,1,남,con,54,정당인,47.25,False,,1
이재명,경기,성남시,구시군의장선거,5,2,남,rev,45,,47.25,True,2.012868266248897,1
이대엽,경기,,구시군의장선거,5,3,남,rem,75,,47.25,False,-2.26442602971492,1
김남성,경기,의정부시,구시군의장선거,5,1,남,con,45,,47.25,False,,3
안병용,,의정부시,구시군의장선거,5,2,남,rev,54,,47.25,True,4.595119850134589,3
김문원,경기,의정부시,구시군의장선거,5,3,남,rem,69,,,False,-0.35503781045248184,3
이필운,경기,,구시군의장선거,,1,남,con,55,,47.25,False,,2
최대호,경기,안양시,구시군의장선거,5,2,남,rev,51,정당인,47.25,True,4.595119850134589,2
김규봉,경기,안양시,구시군의장선거,5,3,남,rem,54,,47.25,False,-3.313511834169796,2
홍건표,경기,부천시,구시군의장선거,5,1,남,con,65,,47.25,False,,2
김만수,경기,부천시,구시군의장선거,5,2,남,rev,45,,47.25,True,4.595119850134589,2
유윤상,경기,부천시,구시군의장선거,5,3,남,rem,57,,47.25,False,-2.569856614093722,
안병식,,광명시,구시군의장선거,5,1,남,con,63,,47.25,False,,2
,경기,광명시,구시군의장선거,5,2,남,rev,47,정당인,47.25,True,4.595119850134589,2
이효선,경기,광명시,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.3533141055648898,2
김철환,경기,광명시,구시군의장선거,5,3,남,rem,49,,47.25,False,-2.0149030205422647,2
송명호,경기,평택시,구시군의장선거,5,1,남,con,54,,47.25,False,,1
김선기,경기,평택시,구시군의장선거,5,2,남,,57,,47.25,True,4.595119850134589,1
김용한,경기,평택시,구시군의장선거,5,3,남,rev,54,,47.25,False,-1.1632080313716873,1
현삼식,경기,양주시,구시군의장선거,5,1,남,con,62,정당인,47.25,True,,1
박재만,경기,양주시,구시군의장선거,5,2,남,rev,47,정당인,47.25,False,1.9716303060175333,1
임충빈,경기,양주시,구시군의장선거,5,3,남,rem,66,,47.25,False,1.4044513833129888,1
형남선,경기,동두천시,구시군의장선거,5,1,남,con,62,,47.25,False,,1
오세창,경기,동두천시,구시군의장선거,5,3,남,rem,59,,47.25,True,4.595119850134589,1
허숭,경기,안산시,구시군의장선거,5,1,남,con,41,,47.25,False,,2
김철민,경기,안산시,구시군의장선거,,2,남,rev,53,,,True,4.595119850134589,2
강현석,경기,고양시,구시군의장선거,5,1,남,con,,,47.25,False,,2
최성,경기,고양시,구시군의장선거,5,2,남,rev,46,,47.25,True,4.595119850134589,2
여인국,경기,과천시,구시군의장선거,5,1,남,con,54,,47.25,True,,3
홍순권,경기,과천시,구시군의장선거,5,2,남,rev,53,정당인,47.25,False,-0.10813772074003322,3
류강용,경기,과천시,구시군의장선거,5,3,남,rev,47,,47.25,False,-2.723983200113867,3
김형탁,경기,과천시,구시군의장선거,5,3,남,,48,정당인,47.25,False,-0.7127329387774691,3
홍채식,경기,과천시,,5,3,남,rev,63,정당인,47.25,False,-4.350632357770064,3
임기원,경기,과천시,구시군의장선거,5,3,남,,46,,47.25,False,0.41270052303185584,3
강철원,경기,의왕시,구시군의장선거,5,1,남,,60,정당인,47.25,False,,3
김성제,경기,의왕시,구시군의장선거,5,2,남,rev,50,정당인,47.25,True,4.595119850134589,3
강상섭,경기,의왕시,구시군의장선거,5,3,남,rem,63,,47.25,False,-0.9028421830567822,3
양태흥,경기,구리시,구시군의장선거,5,,,con,65,정당인,47.25,False,,2
박영순,경기,구리시,구시군의장선거,5,2,남,rev,62,정당인,47.25,True,4.595119850134589,2
김수찬,경기,구리시,구시군의장선거,5,3,남,rem,54,,47.25,False,-2.61358981603666,2
이석우,경기,남양주시,구시군의장선거,5,1,남,con,62,,47.25,True,,2
이덕행,경기,남양주시,구시군의장선거,5,2,남,rev,61,,47.25,False,5.6218819817618,2
이춘성,경기,오산시,구시군의장선거,5,1,남,con,54,,47.25,False,,2
