성명,선거구일,선거구이
0,강원,원주시
1,강원,원주시
0,강원,원주시
0,강원,원주시
2,강원,원주시
1,강원,원주시
0,강원,원주시
0,강원,원주시
0,강원,원주시
0,강원,원주시
1,강원,원주시
0,강원,원주시
0,강원,원주시
0,강원,원주시
0,강원,
0,강원,원주시
0,강원,강릉시
0,강원,강릉시
0,강원,강릉시
1,강원,강릉시
2,강원,강릉시
1,강원,강릉시
0,강원,강릉시
0,강원,강릉시
0,강원,강릉시
1,강원,강릉시
0,강원,강릉시
0,강원,강릉시
0,강원,동해시
0,강원,동해시
0,강원,동해시
0,강원,동해시
0,,동해시
0,강원,동해시
0,강원,삼척시
0,강원,삼척시
0,강원,삼척시
0,강원,삼척시
0,강원,삼척시
2,강원,태백시
1,강원,태백시
0,강원,태백시
0,강원,태백시
0,강원,태백시
0,강원,태백시
0,강원,
2,강원,정선군
0,강원,정선군
0,,정선군
0,강원,속초시
0,강원,속초시
0,강원,
0,강원,속초시
0,강원,고성군
2,,고성군
2,강원,양양군
0,강원,양양군
0,강원,인제군
0,강원,인제군
0,강원,홍천군
0,,홍천군
0,강원,홍천군
0,강원,홍천군
0,강원,횡성군
0,강원,횡성군
0,강원,횡성군
0,강원,횡성군
0,강원,횡성군
0,강원,영월군
0,강원,영월군
0,강원,영월군
0,강원,영월군
1,강원,영월군
0,강원,평창군
0,강원,평창군
2,강원,평창군
0,강원,평창군
0,강원,화천군
1,,화천군
0,강원,양구군
0,강원,양구군
0,강원,철원군
0,강원,철원군
0,강원,철원군
2,강원,철원군
1,충북,청주시 상당구
0,충북,청주시 상당구
0,충북,청주시 상당구
0,충북,청주시 상당구
0,충북,청주시 상당구
0,충북,청주시 서원구
0,충북,청주시 서원구
0,충북,청주시 서원구
0,충북,청주시 서원구
0,,청주시 서원구
2,충북,청주시 서원구
1,충북,청주시 흥덕구
0,,청주시 흥덕구
0,충북,청주시 흥덕구
0,충북,청주시 흥덕구
0,충북,청주시 흥덕구
0,충북,청주시 흥덕구
0,충북,청주시 청원구
0,충북,청주시 청원구
0,충북,청주시 청원구
1,충북,청주시 청원구
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
0,서울,강동구
0,인천,남구
0,경기,파주시
0,서울,서대문구
0,서울,노원구
0,부산,동래구
0,서울,관악구
0,경기,구리시
0,울산,북구
0,서울,광진구
0,경기,화성시
0,서울,성북구
0,경기,용인시 기흥구
0,서울,서초구
0,인천,남동구
0,울산,울주군
0,경기,양주시
0,경기,용인시 수지구
0,대구,북구
0,경기,용인시 기흥구
0,부산,연제구
0,부산,부산진구
0,경기,광명시
1,서울,도봉구
0,서울,송파구
0,서울,구로구
0,경기,부천시
0,서울,동작구
