성명,선거구일,선거구이,여당평가,당선여부,득표수,학력,과목,경력지역,인지도,지역구분
김형남,경기,화성시,51.225,False,-2.5750589111103146,,,False,0.15234015128335374,3
,경기,시흥시,51.225,False,-0.14912424528680568,,경영,True,0.0016859503537136715,2
임병택,경기,시흥시,,True,,,법,True,0.006042203819426422,2
김남흥,경기,시흥시,51.225,False,-0.14170393158644856,,,False,5.601130732738799e-06,2
김진경,경기,시흥시,51.225,True,,연세대,행정,True,0.6080106028889699,2
김종배,경기,시흥시,51.225,False,-0.1716294889686545,,법,True,0.03987455827222397,2
최재백,경기,시흥시,51.225,True,,,행정,True,0.0006830267120646108,2
손병환,경기,시흥시,51.225,False,-0.3697527206560953,,,False,0.0004855425951918664,2
이상희,경기,시흥시,51.225,True,,,법,True,0.3432125142276768,2
이국돈,경기,군포시,51.225,False,-0.2265352673806285,,경영,True,1.0070633024973554e-05,2
김도헌,경기,군포시,51.225,True,,,행정,True,0.13425770673294876,2
박재영,경기,군포시,51.225,False,-0.2916936741058972,,경영,True,0.6427398910004231,2
김경자,경기,군포시,51.225,True,,,,False,,2
윤태길,경기,하남시,51.225,True,0.1488553213913905,,,True,0.001998316922557966,1
남성기,경기,하남시,51.225,False,,,,False,0.010927655069681285,1
이정훈,경기,하남시,51.225,True,0.02526895712202277,,,False,0.9403967774153864,1
김경순,경기,하남시,51.225,False,,,경영,False,0.04667725059237442,1
최창호,경기,파주시,51.225,False,-0.24909279676372015,,경영,False,0.011067654859068807,3
최종환,경기,파주시,51.225,True,,,경제,False,0.03439073523876721,3
고준호,경기,파주시,51.225,False,-0.05353875674511328,,,False,0.0039134314337254455,3
박용수,경기,파주시,51.225,True,,,,False,0.028674577859836382,3
김동규,경기,파주시,51.225,True,0.019577107872046924,,법,False,0.1296349446293887,3
한양수,경기,파주시,51.225,False,,연세대,행정,False,0.0012490529085396338,3
김완선,경기,파주시,51.225,False,-2.9474285180148065,,,False,0.7834180281265609,3
한길룡,경기,파주시,51.225,True,0.3754926183483255,서울대,,False,0.000692568002811855,3
이성철,경기,파주시,51.225,False,,,경영,False,0.0069590069413011345,3
원욱희,경기,여주시,51.225,True,0.1311441523690145,,,True,0.17060988138365996,1
권재국,경기,여주시,51.225,False,,고려대,,True,0.82939011861634,1
이현호,경기,이천시,51.225,True,0.08162876589238867,,경영,False,0.577344274000109,1
이규화,경기,이천시,51.225,False,,,,False,0.07926467258269794,1
,경기,이천시,51.225,False,-2.820629852481455,,,False,0.008856635616613548,1
권영천,경기,이천시,51.225,True,0.025694789227972914,,경영,False,0.0063708133265645865,1
